order_id,order_date,order_status,customer_id,customer_segment,product_id,product_name,category,brand,unit_price,quantity_sold,discount,revenue,cost_of_goods_sold,profit,sales_channel,region,city,store_id,salesperson_id
ORD-10010,2024-05-12,Cancelled,CUST-1216,Retail,PROD-376,Smartwatch,Electronics,Apple,366.91,8,0.0,2935.28,1515.38,1419.9,Mobile App,South,Chennai,STORE-13,SP-142
ORD-10011,2024-10-27,Completed,CUST-1283,Retail,PROD-401,Vacuum Cleaner,Home & Kitchen,Cuisinart,197.05,4,0.05,748.79,348.94,399.85,Online,North,Delhi,STORE-2,SP-114
ORD-10012,2023-03-11,Completed,CUST-1292,Loyalty Member,PROD-342,Headphones,Electronics,Samsung,868.4,5,0.25,3256.5,1639.84,1616.66,Online,West,Kolkata,STORE-7,SP-106
ORD-10013,2023-04-10,Completed,CUST-1055,Retail,PROD-198,Running Shoes,Sports,Reebok,132.16,1,0.0,132.16,61.47,70.69,Online,Central,Ahmedabad,STORE-5,SP-127
ORD-10014,2023-07-07,Cancelled,CUST-1050,Retail,PROD-433,Vacuum Cleaner,Home & Kitchen,Bosch,353.56,2,0.25,530.34,345.78,184.56,Mobile App,North,Delhi,STORE-8,SP-110
ORD-10015,2024-02-21,Returned,CUST-1135,Wholesale,PROD-246,Cycling Helmet,Sports,Puma,261.43,1,0.0,261.43,142.41,119.02,In-Store,Central,Ahmedabad,STORE-5,SP-112
ORD-10016,2023-10-31,Cancelled,CUST-1244,Loyalty Member,PROD-371,T-Shirt,Clothing,Levi's,152.43,1,0.15,129.57,60.16,69.41,Online,North,Delhi,STORE-6,SP-104
ORD-10017,2024-09-01,Completed,CUST-1041,Wholesale,PROD-436,Smartphone,Electronics,Dell,355.85,10,0.05,3380.57,2010.53,1370.04,Mobile App,Central,Pune,STORE-9,SP-113
ORD-10018,2024-11-16,Completed,CUST-1004,Wholesale,PROD-418,Coffee Maker,Home & Kitchen,Instant Pot,176.44,5,0.25,661.65,350.04,311.61,Mobile App,North,Delhi,STORE-18,SP-113
ORD-10019,2024-06-02,Returned,CUST-1278,Loyalty Member,PROD-254,Coffee Maker,Home & Kitchen,Instant Pot,355.92,4,0.15,1210.13,630.78,579.35,Mobile App,Central,Mumbai,STORE-18,SP-119
ORD-10020,2024-11-10,Cancelled,CUST-1107,Loyalty Member,PROD-275,Smartphone,Electronics,Sony,350.06,2,0.0,700.12,362.72,337.4,Online,East,Ahmedabad,STORE-9,SP-103
ORD-10021,2023-04-05,Returned,CUST-1282,Loyalty Member,PROD-318,Running Shoes,Sports,Nike,16.01,3,0.1,43.23,21.2,22.03,Mobile App,North,Delhi,STORE-3,SP-144
ORD-10022,2023-06-02,Completed,CUST-1186,Retail,PROD-283,Fiction Novel,Books,Random House,31.21,3,0.2,74.9,36.09,38.81,Online,South,Delhi,STORE-12,SP-149
ORD-10023,2024-07-27,Completed,CUST-1211,Retail,PROD-191,Fitness Band,Sports,Puma,278.84,4,0.0,1115.36,774.12,341.24,Mobile App,East,Kolkata,STORE-8,SP-117
ORD-10024,2023-06-13,Returned,CUST-1179,Wholesale,PROD-216,Tablet,Electronics,Samsung,1316.17,4,0.05,5001.45,3271.68,1729.77,Online,North,Hyderabad,STORE-13,SP-121
ORD-10025,2023-10-13,Completed,CUST-1133,Retail,PROD-397,Headphones,Electronics,Sony,1033.93,7,0.15,6151.88,4212.86,1939.02,In-Store,North,Delhi,STORE-20,SP-127
ORD-10026,2023-12-20,Completed,CUST-1130,Retail,PROD-462,Vacuum Cleaner,Home & Kitchen,Cuisinart,394.17,2,0.2,630.67,425.62,205.05,In-Store,North,Hyderabad,STORE-12,SP-127
ORD-10027,2023-03-13,Returned,CUST-1167,Wholesale,PROD-456,Toaster,Home & Kitchen,Instant Pot,275.45,2,0.1,495.81,285.97,209.84,In-Store,Central,Bangalore,STORE-7,SP-126
ORD-10028,2024-11-11,Completed,CUST-1220,Loyalty Member,PROD-410,Dumbbells,Sports,Decathlon,177.19,7,0.0,1240.33,652.37,587.96,Mobile App,East,Ahmedabad,STORE-15,SP-128
ORD-10029,2024-11-22,Cancelled,CUST-1171,Retail,PROD-484,Dress,Clothing,H&M,162.87,3,0.0,488.61,254.54,234.07,Online,East,Hyderabad,STORE-7,SP-109
ORD-10030,2023-01-26,Cancelled,CUST-1099,Loyalty Member,PROD-456,Smartphone,Electronics,Dell,994.66,2,0.25,1491.99,825.98,666.01,In-Store,West,Kolkata,STORE-8,SP-109
ORD-10031,2024-11-02,Completed,CUST-1062,Wholesale,PROD-168,Laptop,Electronics,Dell,484.49,9,0.25,3270.31,1512.7,1757.61,In-Store,Central,Pune,STORE-15,SP-139
ORD-10032,2024-05-31,Completed,CUST-1141,Loyalty Member,PROD-348,Fitness Band,Sports,Reebok,270.7,8,0.25,1624.2,836.13,788.07,Mobile App,South,Chennai,STORE-15,SP-104
ORD-10033,2024-12-31,Completed,CUST-1196,Loyalty Member,PROD-178,Coffee Maker,Home & Kitchen,Instant Pot,154.26,9,0.0,1388.34,672.78,715.56,Mobile App,South,Delhi,STORE-14,SP-126
ORD-10034,2023-12-05,Cancelled,CUST-1010,Loyalty Member,PROD-294,Science Textbook,Books,Scholastic,7.8,7,0.2,43.68,29.54,14.14,In-Store,North,Pune,STORE-10,SP-148
ORD-10035,2024-02-04,Returned,CUST-1248,Retail,PROD-299,Fitness Band,Sports,Decathlon,242.96,4,0.25,728.88,367.98,360.9,In-Store,West,Bangalore,STORE-15,SP-108
ORD-10036,2024-09-29,Completed,CUST-1236,Retail,PROD-125,Fiction Novel,Books,Scholastic,31.64,1,0.0,31.64,19.32,12.32,In-Store,West,Pune,STORE-7,SP-129
ORD-10037,2023-12-01,Returned,CUST-1009,Loyalty Member,PROD-376,Vacuum Cleaner,Home & Kitchen,Instant Pot,308.24,7,0.1,1941.91,1279.19,662.72,Online,East,Hyderabad,STORE-3,SP-149
ORD-10038,2024-10-29,Returned,CUST-1058,Loyalty Member,PROD-211,Laptop,Electronics,Apple,459.17,1,0.0,459.17,234.01,225.16,In-Store,East,Pune,STORE-6,SP-138
ORD-10039,2024-09-13,Returned,CUST-1203,Loyalty Member,PROD-201,Smartphone,Electronics,Sony,340.53,1,0.1,306.48,182.03,124.45,Online,Central,Hyderabad,STORE-4,SP-144
ORD-10040,2023-11-05,Completed,CUST-1259,Loyalty Member,PROD-274,Fiction Novel,Books,Macmillan,40.22,6,0.2,193.06,118.81,74.25,Online,West,Ahmedabad,STORE-4,SP-127
ORD-10041,2024-01-06,Cancelled,CUST-1247,Wholesale,PROD-323,Dumbbells,Sports,Reebok,65.2,9,0.1,528.12,318.97,209.15,Mobile App,Central,Chennai,STORE-11,SP-115
ORD-10042,2023-03-30,Returned,CUST-1166,Retail,PROD-349,Vacuum Cleaner,Home & Kitchen,Bosch,307.68,10,0.2,2461.44,1314.65,1146.79,Online,East,Chennai,STORE-11,SP-117
ORD-10043,2024-09-02,Returned,CUST-1250,Loyalty Member,PROD-488,Toaster,Home & Kitchen,Philips,221.15,4,0.0,884.6,451.45,433.15,Online,West,Ahmedabad,STORE-15,SP-150
ORD-10044,2023-01-18,Completed,CUST-1242,Loyalty Member,PROD-371,Headphones,Electronics,Apple,725.72,4,0.1,2612.59,1609.33,1003.26,In-Store,West,Pune,STORE-12,SP-144
ORD-10045,2024-04-09,Cancelled,CUST-1094,Retail,PROD-210,Air Fryer,Home & Kitchen,Instant Pot,115.3,4,0.15,392.02,188.13,203.89,Mobile App,West,Chennai,STORE-19,SP-148
ORD-10046,2024-06-21,Completed,CUST-1007,Loyalty Member,PROD-373,Cookbook,Books,Penguin,42.47,5,0.05,201.73,108.98,92.75,Online,East,Mumbai,STORE-2,SP-135
ORD-10047,2023-10-27,Returned,CUST-1174,Retail,PROD-126,Sneakers,Clothing,Nike,177.09,10,0.1,1593.81,904.25,689.56,In-Store,West,Delhi,STORE-3,SP-125
ORD-10048,2024-05-18,Completed,CUST-1060,Loyalty Member,PROD-491,Smartwatch,Electronics,Samsung,397.25,10,0.1,3575.25,1685.0,1890.25,In-Store,Central,Hyderabad,STORE-17,SP-124
ORD-10049,2024-04-06,Completed,CUST-1106,Loyalty Member,PROD-208,Running Shoes,Sports,Decathlon,297.16,5,0.0,1485.8,895.06,590.74,In-Store,North,Bangalore,STORE-8,SP-111
ORD-10050,2024-07-19,Completed,CUST-1147,Loyalty Member,PROD-244,Smartphone,Electronics,Samsung,731.07,10,0.25,5483.03,2866.61,2616.42,Mobile App,West,Delhi,STORE-8,SP-116
ORD-10051,2024-10-02,Completed,CUST-1036,Retail,PROD-184,Self-Help Book,Books,Scholastic,10.16,4,0.0,40.64,27.52,13.12,In-Store,Central,Chennai,STORE-15,SP-107
ORD-10052,2024-04-24,Completed,CUST-1221,Loyalty Member,PROD-265,Vacuum Cleaner,Home & Kitchen,Instant Pot,215.17,8,0.25,1291.02,606.92,684.1,Mobile App,East,Mumbai,STORE-3,SP-114
ORD-10053,2024-11-21,Completed,CUST-1240,Loyalty Member,PROD-433,Biography,Books,Penguin,49.98,5,0.0,249.9,160.13,89.77,In-Store,East,Bangalore,STORE-19,SP-127
ORD-10054,2024-10-12,Completed,CUST-1168,Wholesale,PROD-455,Yoga Mat,Sports,Reebok,114.17,6,0.15,582.27,359.57,222.7,In-Store,East,Kolkata,STORE-18,SP-102
ORD-10055,2024-04-10,Cancelled,CUST-1236,Wholesale,PROD-127,Headphones,Electronics,Sony,620.26,7,0.0,4341.82,2667.68,1674.14,Online,Central,Pune,STORE-20,SP-148
ORD-10056,2024-05-25,Returned,CUST-1062,Retail,PROD-422,Yoga Mat,Sports,Puma,91.11,3,0.1,246.0,137.64,108.36,Mobile App,South,Bangalore,STORE-10,SP-135
ORD-10057,2023-01-15,Completed,CUST-1255,Loyalty Member,PROD-249,Science Textbook,Books,Penguin,15.11,2,0.25,22.66,15.56,7.1,Mobile App,East,Kolkata,STORE-16,SP-130
ORD-10058,2023-09-07,Completed,CUST-1212,Wholesale,PROD-359,Fitness Band,Sports,Puma,124.32,10,0.0,1243.2,827.98,415.22,In-Store,North,Chennai,STORE-10,SP-137
ORD-10059,2024-08-16,Cancelled,CUST-1193,Wholesale,PROD-264,Dumbbells,Sports,Reebok,168.5,6,0.15,859.35,505.28,354.07,Online,South,Kolkata,STORE-8,SP-149
ORD-10060,2024-02-25,Completed,CUST-1253,Retail,PROD-164,Headphones,Electronics,Dell,1116.8,7,0.2,6254.08,4359.74,1894.34,Mobile App,Central,Pune,STORE-4,SP-128
ORD-10061,2023-04-13,Completed,CUST-1173,Loyalty Member,PROD-454,Science Textbook,Books,Penguin,37.51,7,0.0,262.57,123.07,139.5,In-Store,North,Pune,STORE-18,SP-124
ORD-10062,2023-11-21,Completed,CUST-1222,Retail,PROD-489,Fitness Band,Sports,Nike,190.98,4,0.1,687.53,480.83,206.7,Mobile App,North,Ahmedabad,STORE-6,SP-144
ORD-10063,2023-11-03,Completed,CUST-1125,Loyalty Member,PROD-310,Laptop,Electronics,Sony,1234.99,5,0.15,5248.71,2853.78,2394.93,Mobile App,South,Bangalore,STORE-6,SP-105
ORD-10064,2024-09-16,Completed,CUST-1235,Wholesale,PROD-441,Fitness Band,Sports,Puma,156.84,10,0.0,1568.4,796.82,771.58,Online,West,Chennai,STORE-18,SP-110
ORD-10065,2023-03-17,Completed,CUST-1101,Wholesale,PROD-347,Running Shoes,Sports,Decathlon,100.26,7,0.1,631.64,356.38,275.26,Online,South,Kolkata,STORE-19,SP-122
ORD-10066,2024-08-11,Completed,CUST-1254,Wholesale,PROD-497,Air Fryer,Home & Kitchen,Philips,391.84,7,0.1,2468.59,1115.86,1352.73,Online,Central,Pune,STORE-8,SP-140
ORD-10067,2023-07-14,Completed,CUST-1296,Wholesale,PROD-474,Cookbook,Books,HarperCollins,33.27,1,0.1,29.94,19.38,10.56,Online,North,Chennai,STORE-11,SP-147
ORD-10068,2024-03-01,Completed,CUST-1246,Wholesale,PROD-482,Jeans,Clothing,Adidas,161.57,6,0.1,872.48,573.76,298.72,In-Store,North,Ahmedabad,STORE-3,SP-109
ORD-10069,2023-08-20,Completed,CUST-1232,Wholesale,PROD-444,Fitness Band,Sports,Under Armour,40.74,7,0.0,285.18,147.19,137.99,Mobile App,East,Kolkata,STORE-12,SP-106
ORD-10070,2024-11-22,Completed,CUST-1032,Loyalty Member,PROD-337,Sneakers,Clothing,Nike,131.52,9,0.15,1006.13,682.98,323.15,Mobile App,East,Kolkata,STORE-4,SP-108
ORD-10071,2023-02-16,Completed,CUST-1276,Wholesale,PROD-400,Headphones,Electronics,Dell,350.96,4,0.0,1403.84,768.13,635.71,Mobile App,South,Kolkata,STORE-4,SP-131
ORD-10072,2024-09-22,Completed,CUST-1185,Retail,PROD-451,Running Shoes,Sports,Nike,211.73,4,0.25,635.19,356.45,278.74,In-Store,Central,Pune,STORE-2,SP-125
ORD-10073,2023-10-10,Completed,CUST-1124,Retail,PROD-389,T-Shirt,Clothing,H&M,36.5,4,0.0,146.0,67.55,78.45,Online,North,Hyderabad,STORE-19,SP-113
ORD-10074,2023-08-27,Completed,CUST-1056,Loyalty Member,PROD-113,Coffee Maker,Home & Kitchen,Cuisinart,31.05,3,0.0,93.15,54.5,38.65,Online,North,Pune,STORE-8,SP-137
ORD-10075,2023-11-28,Returned,CUST-1229,Wholesale,PROD-362,Smartphone,Electronics,Sony,268.12,7,0.0,1876.84,1194.45,682.39,Mobile App,North,Ahmedabad,STORE-17,SP-114
ORD-10076,2024-09-21,Returned,CUST-1218,Loyalty Member,PROD-155,Smartwatch,Electronics,Sony,795.46,1,0.0,795.46,556.54,238.92,In-Store,West,Delhi,STORE-3,SP-120
ORD-10077,2024-09-14,Cancelled,CUST-1271,Wholesale,PROD-332,T-Shirt,Clothing,Adidas,69.5,10,0.15,590.75,322.09,268.66,Mobile App,Central,Kolkata,STORE-4,SP-150
ORD-10078,2024-12-19,Returned,CUST-1204,Wholesale,PROD-473,Smartwatch,Electronics,Apple,759.09,4,0.2,2429.09,1298.91,1130.18,Online,East,Kolkata,STORE-11,SP-142
ORD-10079,2023-09-19,Completed,CUST-1066,Loyalty Member,PROD-130,Coffee Maker,Home & Kitchen,Dyson,54.84,2,0.0,109.68,61.2,48.48,Mobile App,Central,Pune,STORE-4,SP-126
ORD-10080,2023-12-29,Completed,CUST-1079,Loyalty Member,PROD-346,Yoga Mat,Sports,Under Armour,186.12,6,0.0,1116.72,663.87,452.85,Online,North,Pune,STORE-18,SP-123
ORD-10081,2023-04-28,Completed,CUST-1014,Retail,PROD-239,Toaster,Home & Kitchen,Bosch,328.67,9,0.0,2958.03,1781.47,1176.56,Mobile App,East,Pune,STORE-12,SP-100
ORD-10082,2023-07-05,Completed,CUST-1192,Wholesale,PROD-332,Dress,Clothing,H&M,32.53,1,0.0,32.53,20.71,11.82,In-Store,South,Pune,STORE-10,SP-146
ORD-10083,2023-11-29,Completed,CUST-1041,Wholesale,PROD-326,Biography,Books,Penguin,44.75,3,0.0,134.25,85.73,48.52,Mobile App,West,Ahmedabad,STORE-20,SP-128
ORD-10084,2024-02-29,Cancelled,CUST-1249,Loyalty Member,PROD-441,Coffee Maker,Home & Kitchen,Cuisinart,72.11,7,0.0,504.77,262.89,241.88,In-Store,North,Hyderabad,STORE-13,SP-138
ORD-10085,2023-02-26,Completed,CUST-1003,Wholesale,PROD-482,Smartphone,Electronics,Sony,1428.92,3,0.1,3858.08,2015.31,1842.77,In-Store,South,Bangalore,STORE-13,SP-134
ORD-10086,2024-12-21,Completed,CUST-1223,Retail,PROD-335,Dress,Clothing,Levi's,170.0,6,0.0,1020.0,560.25,459.75,Online,East,Kolkata,STORE-19,SP-125
ORD-10087,2024-12-27,Cancelled,CUST-1235,Loyalty Member,PROD-285,Running Shoes,Sports,Nike,130.43,6,0.0,782.58,508.94,273.64,Online,West,Delhi,STORE-8,SP-127
ORD-10088,2024-08-26,Completed,CUST-1039,Loyalty Member,PROD-424,Fitness Band,Sports,Nike,127.79,5,0.15,543.11,274.48,268.63,Online,Central,Hyderabad,STORE-12,SP-122
ORD-10089,2024-10-22,Completed,CUST-1090,Loyalty Member,PROD-352,Jeans,Clothing,Nike,46.36,4,0.0,185.44,111.38,74.06,In-Store,Central,Ahmedabad,STORE-19,SP-141
ORD-10090,2024-10-12,Completed,CUST-1140,Loyalty Member,PROD-128,Cookbook,Books,Random House,11.79,2,0.25,17.68,9.91,7.77,In-Store,Central,Delhi,STORE-10,SP-129
ORD-10091,2024-04-07,Cancelled,CUST-1196,Wholesale,PROD-397,Laptop,Electronics,Sony,1281.21,2,0.0,2562.42,1547.07,1015.35,Mobile App,North,Ahmedabad,STORE-19,SP-141
ORD-10092,2023-07-12,Completed,CUST-1043,Loyalty Member,PROD-430,Toaster,Home & Kitchen,Dyson,215.51,1,0.25,161.63,76.92,84.71,Online,North,Hyderabad,STORE-15,SP-128
ORD-10093,2024-06-20,Completed,CUST-1026,Loyalty Member,PROD-431,Biography,Books,HarperCollins,21.38,5,0.2,85.52,47.22,38.3,In-Store,North,Pune,STORE-4,SP-135
ORD-10094,2024-11-25,Cancelled,CUST-1072,Wholesale,PROD-258,Running Shoes,Sports,Under Armour,221.26,10,0.0,2212.6,1180.07,1032.53,Mobile App,West,Bangalore,STORE-20,SP-145
ORD-10095,2023-03-28,Cancelled,CUST-1047,Loyalty Member,PROD-443,Toaster,Home & Kitchen,Dyson,268.09,6,0.0,1608.54,993.32,615.22,In-Store,Central,Pune,STORE-1,SP-123
ORD-10096,2023-11-13,Completed,CUST-1079,Retail,PROD-251,Jeans,Clothing,Zara,190.58,8,0.05,1448.41,733.82,714.59,Online,Central,Mumbai,STORE-11,SP-149
ORD-10097,2024-09-24,Completed,CUST-1210,Wholesale,PROD-446,Dress,Clothing,H&M,47.77,3,0.0,143.31,90.33,52.98,Mobile App,South,Ahmedabad,STORE-20,SP-118
ORD-10098,2024-04-04,Cancelled,CUST-1225,Wholesale,PROD-493,Dress,Clothing,Adidas,75.7,8,0.05,575.32,311.8,263.52,In-Store,West,Kolkata,STORE-6,SP-112
ORD-10099,2024-09-11,Cancelled,CUST-1063,Wholesale,PROD-142,Jacket,Clothing,Nike,135.41,6,0.0,812.46,510.1,302.36,Online,East,Ahmedabad,STORE-17,SP-109
ORD-10100,2024-03-23,Cancelled,CUST-1191,Retail,PROD-297,Smartphone,Electronics,Dell,1350.02,1,0.2,1080.02,500.39,579.63,Online,East,Hyderabad,STORE-1,SP-120
ORD-10101,2023-04-12,Returned,CUST-1229,Loyalty Member,PROD-102,Coffee Maker,Home & Kitchen,Bosch,44.17,8,0.0,353.36,226.05,127.31,Online,North,Chennai,STORE-7,SP-109
ORD-10102,2024-07-15,Completed,CUST-1122,Wholesale,PROD-427,Biography,Books,Scholastic,10.0,5,0.05,47.5,24.95,22.55,Mobile App,West,Delhi,STORE-4,SP-131
ORD-10103,2024-09-03,Cancelled,CUST-1180,Retail,PROD-392,Fiction Novel,Books,Macmillan,30.88,3,0.1,83.38,46.47,36.91,In-Store,South,Delhi,STORE-17,SP-123
ORD-10104,2023-03-11,Returned,CUST-1022,Loyalty Member,PROD-298,Biography,Books,Macmillan,40.39,9,0.0,363.51,199.06,164.45,In-Store,East,Mumbai,STORE-12,SP-150
ORD-10105,2023-03-11,Cancelled,CUST-1173,Loyalty Member,PROD-189,Coffee Maker,Home & Kitchen,Philips,315.46,6,0.0,1892.76,872.72,1020.04,Mobile App,West,Ahmedabad,STORE-6,SP-108
ORD-10106,2023-03-06,Completed,CUST-1263,Wholesale,PROD-378,Yoga Mat,Sports,Under Armour,72.45,4,0.0,289.8,153.27,136.53,In-Store,East,Mumbai,STORE-7,SP-118
ORD-10107,2024-01-01,Returned,CUST-1197,Wholesale,PROD-195,Headphones,Electronics,Sony,361.82,6,0.2,1736.74,1167.73,569.01,In-Store,West,Pune,STORE-17,SP-117
ORD-10108,2023-03-26,Completed,CUST-1167,Loyalty Member,PROD-251,Yoga Mat,Sports,Reebok,186.7,3,0.1,504.09,267.32,236.77,In-Store,West,Kolkata,STORE-6,SP-144
ORD-10109,2024-03-30,Completed,CUST-1038,Loyalty Member,PROD-426,Vacuum Cleaner,Home & Kitchen,Philips,298.92,6,0.2,1434.82,744.15,690.67,In-Store,East,Bangalore,STORE-1,SP-109
ORD-10110,2024-09-14,Cancelled,CUST-1016,Loyalty Member,PROD-178,Yoga Mat,Sports,Puma,34.16,6,0.15,174.22,95.07,79.15,Mobile App,West,Pune,STORE-12,SP-128
ORD-10111,2023-03-20,Completed,CUST-1013,Loyalty Member,PROD-195,Self-Help Book,Books,Macmillan,21.51,6,0.1,116.15,59.52,56.63,In-Store,Central,Kolkata,STORE-18,SP-107
ORD-10112,2023-09-26,Completed,CUST-1037,Wholesale,PROD-188,Vacuum Cleaner,Home & Kitchen,Bosch,398.66,5,0.25,1494.98,747.56,747.42,Mobile App,West,Delhi,STORE-11,SP-142
ORD-10113,2023-12-22,Completed,CUST-1185,Loyalty Member,PROD-214,Smartwatch,Electronics,LG,577.47,5,0.0,2887.35,1813.12,1074.23,Online,South,Bangalore,STORE-8,SP-150
ORD-10114,2024-05-20,Completed,CUST-1033,Wholesale,PROD-303,Headphones,Electronics,LG,943.96,8,0.0,7551.68,4553.57,2998.11,Mobile App,West,Kolkata,STORE-14,SP-136
ORD-10115,2023-03-17,Cancelled,CUST-1300,Retail,PROD-493,Jacket,Clothing,Nike,101.0,9,0.15,772.65,372.48,400.17,Online,West,Mumbai,STORE-4,SP-133
ORD-10116,2023-06-06,Cancelled,CUST-1145,Retail,PROD-228,Coffee Maker,Home & Kitchen,Bosch,149.38,4,0.15,507.89,348.85,159.04,Online,Central,Chennai,STORE-5,SP-140
ORD-10117,2023-11-07,Cancelled,CUST-1172,Loyalty Member,PROD-121,Biography,Books,Penguin,27.62,3,0.0,82.86,40.83,42.03,Online,North,Mumbai,STORE-19,SP-116
ORD-10118,2024-10-28,Cancelled,CUST-1148,Loyalty Member,PROD-254,Dress,Clothing,H&M,131.26,1,0.25,98.44,66.18,32.26,In-Store,South,Kolkata,STORE-10,SP-129
ORD-10119,2023-03-16,Completed,CUST-1160,Loyalty Member,PROD-263,Smartphone,Electronics,Dell,740.31,8,0.05,5626.36,3010.37,2615.99,Mobile App,East,Kolkata,STORE-5,SP-148
ORD-10120,2024-01-15,Completed,CUST-1072,Retail,PROD-125,Biography,Books,Penguin,19.36,8,0.0,154.88,80.05,74.83,In-Store,West,Kolkata,STORE-8,SP-110
ORD-10121,2023-12-02,Completed,CUST-1254,Retail,PROD-146,Cookbook,Books,HarperCollins,39.34,8,0.25,236.04,135.65,100.39,In-Store,Central,Ahmedabad,STORE-8,SP-113
ORD-10122,2024-08-20,Completed,CUST-1055,Wholesale,PROD-168,Blender,Home & Kitchen,Philips,134.1,10,0.25,1005.75,524.44,481.31,In-Store,East,Kolkata,STORE-12,SP-102
ORD-10123,2024-02-15,Cancelled,CUST-1230,Loyalty Member,PROD-243,Smartwatch,Electronics,LG,453.05,9,0.1,3669.71,1718.83,1950.88,Mobile App,Central,Delhi,STORE-5,SP-106
ORD-10124,2024-02-08,Returned,CUST-1256,Retail,PROD-123,Air Fryer,Home & Kitchen,Cuisinart,377.41,3,0.05,1075.62,646.03,429.59,Online,South,Pune,STORE-16,SP-133
ORD-10125,2024-04-12,Cancelled,CUST-1153,Loyalty Member,PROD-272,Dress,Clothing,Levi's,45.16,10,0.15,383.86,188.33,195.53,Mobile App,Central,Ahmedabad,STORE-19,SP-119
ORD-10126,2024-05-01,Completed,CUST-1242,Wholesale,PROD-435,Headphones,Electronics,Sony,1075.95,7,0.1,6778.49,4400.52,2377.97,Mobile App,Central,Hyderabad,STORE-2,SP-137
ORD-10127,2024-05-06,Completed,CUST-1016,Loyalty Member,PROD-458,Dress,Clothing,Levi's,159.43,7,0.0,1116.01,731.45,384.56,Online,South,Mumbai,STORE-15,SP-120
ORD-10128,2024-03-04,Completed,CUST-1070,Loyalty Member,PROD-206,Sneakers,Clothing,Adidas,93.87,10,0.25,704.03,470.44,233.59,Mobile App,East,Ahmedabad,STORE-17,SP-124
ORD-10129,2023-11-18,Completed,CUST-1126,Wholesale,PROD-385,Sneakers,Clothing,Levi's,81.62,6,0.1,440.75,265.56,175.19,In-Store,South,Chennai,STORE-10,SP-145
ORD-10130,2023-08-01,Cancelled,CUST-1194,Wholesale,PROD-276,Running Shoes,Sports,Reebok,114.41,5,0.1,514.85,247.37,267.48,Online,East,Mumbai,STORE-10,SP-145
ORD-10131,2023-03-22,Completed,CUST-1287,Loyalty Member,PROD-239,Vacuum Cleaner,Home & Kitchen,Instant Pot,306.52,4,0.05,1164.78,765.25,399.53,Online,North,Hyderabad,STORE-8,SP-103
ORD-10132,2024-11-16,Completed,CUST-1070,Retail,PROD-381,Self-Help Book,Books,HarperCollins,7.36,7,0.15,43.79,27.56,16.23,Online,West,Ahmedabad,STORE-16,SP-141
ORD-10133,2023-07-24,Completed,CUST-1089,Wholesale,PROD-190,Air Fryer,Home & Kitchen,Instant Pot,268.98,2,0.05,511.06,298.35,212.71,Online,West,Ahmedabad,STORE-6,SP-147
ORD-10134,2023-10-24,Cancelled,CUST-1268,Wholesale,PROD-168,Laptop,Electronics,Sony,938.35,2,0.15,1595.19,831.32,763.87,Mobile App,West,Chennai,STORE-7,SP-107
ORD-10135,2023-12-05,Cancelled,CUST-1098,Retail,PROD-412,Sneakers,Clothing,Zara,149.35,1,0.15,126.95,82.22,44.73,Mobile App,West,Kolkata,STORE-17,SP-120
